COMPONENT,SYSTEM,SCALE,n2,codes,methods
Ehrlichia canis Ab,Ser,Qn,2,"23711-5,31361-9",NA|NA
Ehrlichia chaffeensis Ab,Ser,Qn,3,"13195-3,41752-7,68949-7",NA|NA|IF
Ehrlichia chaffeensis Ab.IgG,Body fld,Qn,2,"48894-0,49180-3",IF|NA
Ehrlichia chaffeensis Ab.IgG,Ser,Ord,2,"22283-6,6401-4",NA|IA
Ehrlichia chaffeensis Ab.IgG,Ser,Qn,4,"22284-4,47405-6,7875-8,9783-2",NA|IF|IA|NA
Ehrlichia chaffeensis Ab.IgM,Body fld,Qn,2,"48895-7,49179-5",IF|NA
Ehrlichia chaffeensis Ab.IgM,Ser,Ord,2,"6402-2,7876-6",IA|NA
Ehrlichia chaffeensis Ab.IgM,Ser,Qn,3,"31362-7,48850-2,9784-0",NA|IF|NA
Ehrlichia risticii Ab,Ser,Ord,2,"23055-7,23056-5",IF|NA
Ehrlichia risticii Ab,Ser,Qn,2,"43331-8,46185-5",IF|NA
Ehrlichia sp Ab,Ser,Ord,2,"6405-5,7879-0",IA|NA
Ehrlichia sp Ab,Ser,Qn,2,"34285-7,43039-7",Comp fix|NA
Ehrlichia sp identified,XXX,Nom,2,"48873-4,49125-8",Organism specific culture|Sequencing
Eicosapentaenoate intake,^Patient,Qn,2,"81029-1,81030-9",Estimated|Measured
Eicosatrienoate,Ser/Plas,Qn,2,"81766-8,81767-6",NA|NA
Ej Ab,Ser,Ord,3,"45149-2,48647-2,82392-2",NA|RIPA|Line blot
Ejection fraction,Heart.ventricle.left,Qn,23,"10230-1,18043-0,18044-8,18045-5,18046-3,18047-1,18048-9,18049-7,77889-4,77890-2,77891-0,77892-8,79990-8,79991-6,79992-4,79993-2,8806-2,8807-0,8808-8,8809-6,8810-4,8811-2,8812-0",NA|US|US.2D+Calculated by single-plane ellipse method|US.2D+Calculated by biplane ellipse method|US.2D.mod|US.2D.mod.biplane|US.2D.mod.single-plane|US.M-mode+Calculated by Teichholz method|US.M-mode+Calculated by cube method|US.2D+Calculated by cube method|US.2D+Calculated by Teichholz method|US.2D+Calculated by modified Simpson method|US.3D.segmentation|US.2D+Calculated by biplane method of disks|US.2D.A2C+Calc by single plane method of disks|US.2D.A4C+Calc by single plane method of disks|2D echo|2D echo.visual estimate|Angiogram|Angiogram.visual estima|CT spiral|MR|Nuclear.blood pool
Ejection fraction,Heart.ventricle.right,Qn,9,"10231-9,81388-1,8813-8,8814-6,8815-3,8816-1,8817-9,8818-7,8819-5",NA|US.3D|2D echo|2D echo.visual estimate|Angiogram|Angiogram.visual estima|CT spiral|MR|Nuclear.blood pool
Ejection time,Heart.ventricle.XXX,Qn,2,"20221-8,20222-6",US.doppler|US
Elastase.leukocyte,Plas,Qn,2,"2223-6,33864-0",NA|NA
Elastase.pancreatic,Ser,Qn,2,"14048-3,2221-0",NA|NA
Electrolytes 3 panel,Urine,Qn,2,"24329-5,75667-6",NA|NA
Elymus triticoides Ab.IgE,Ser,Qn,2,"16922-7,6283-6",NA|NA
Email address,Personnel,Nom,2,"71728-0,91004-2",NA|NA
Emetine,Ser/Plas,Qn,2,"12399-2,16813-8",NA|NA
Empty calorie servings,^Patient,Qn,2,"80467-4,80468-2",Estimated|Measured
Encephalomyocarditis virus Ab,Ser,Qn,3,"29886-9,29889-3,31364-3",Neut|NA|NA
Encounter location,^Patient,Nom,2,"80412-0,89009-5",NA|NA
End-diastolic volume,Heart.ventricle.left,Qn,20,"18026-5,18027-3,18028-1,18029-9,20234-1,20235-8,20236-6,20237-4,20238-2,75988-6,76547-9,76548-7,76549-5,76550-3,76551-1,79995-7,79996-5,79998-1,79999-9,8821-1",US|US.2D+Calculated by single-plane ellipse method|US.2D+Calculated by biplane ellipse method|US.2D.mod|US.2D+Calculated by bullet method|US.cubed.calculated|US.2D.mod.biplane ellipse.calculated|US.2D+Calculated by modified Simpson method|US.M-mode+Calculated by Teichholz method|NA|US.M-mode+Calculated by cube method|US.2D+Calculated by cube method|US.2D+Calculated by Teichholz method|US.M-mode+Calculated by Gibson method|US.2D+Calculated by Gibson method|US.3D.segmentation|US.2D+Calculated by biplane method of disks|US.2D.A2C+Calc by single plane method of disks|US.2D.A4C+Calc by single plane method of disks|Imaging
End-systolic volume,Heart.atrium.left,Qn,6,"77904-1,77905-8,79981-7,79983-3,79985-8,79986-6",US.2D+Calculated by modified Simpson method|US.2D+Calculated by area-length method|US.2D+Calculated by biplane area-length method|US.2D+Calculated by biplane method of disks|US.2D.A2C+Calc by single plane method of disks|US.2D.A4C+Calc by single plane method of disks
End-systolic volume,Heart.ventricle.left,Qn,19,"18148-7,18149-5,18150-3,18151-1,24529-0,24530-8,29465-2,75989-4,76552-9,76553-7,76554-5,76555-2,76556-0,76557-8,80000-3,80001-1,80003-7,80004-5,8823-7",US|US.2D+Calculated by single-plane ellipse method|US.2D+Calculated by biplane ellipse method|US.2D.mod|US.2D.mod.biplane|US.M-mode+Calculated by Teichholz method|US.Teicholz.calculated|NA|US.M-mode+Calculated by cube method|US.2D+Calculated by cube method|US.2D+Calculated by Teichholz method|US.M-mode+Calculated by Gibson method|US.2D+Calculated by Gibson method|US.2D+Calculated by modified Simpson method|US.3D.segmentation|US.2D+Calculated by biplane method of disks|US.2D.A2C+Calc by single plane method of disks|US.2D.A4C+Calc by single plane method of disks|Imaging
End-systolic volume/Body surface area,Heart.atrium.left,Qn,4,"77906-6,77907-4,79982-5,79984-1",US.2D+Calculated by modified Simpson method|US.2D+Calculated by area-length method|US.2D+Calculated by biplane area-length method|US.2D+Calculated by biplane method of disks
Endomysium Ab,Ser,Ord,2,"16814-6,31365-0",IF|NA
Endomysium Ab,Ser,Qn,4,"13092-2,14708-2,16815-3,25399-7",NA|NA|IF|IF
Endomysium Ab.IgA,Ser,Ord,2,"10362-2,46126-9",NA|IF
Endomysium Ab.IgA,Ser,Qn,3,"10863-9,27038-9,31366-8",NA|IF|NA
Endomysium Ab.IgG,Ser,Qn,3,"45136-9,49726-3,51699-7",NA|NA|IF
Endothelin,Ser/Plas,Qn,3,"12737-3,26769-0,74098-5",NA|NA|NA
Enolase.neuron specific,CSF,Qn,2,"44802-7,47053-4",NA|IA
Enolase.neuron specific,Plr fld,Qn,2,"19194-0,68939-8",NA|NA
Enolase.neuron specific,Ser/Plas,Qn,5,"15060-7,19193-2,2225-1,48138-2,57371-7",NA|NA|NA|RIA|IA
Enoxacin,Isolate,OrdQn,4,"18918-3,229-5,230-3,41692-5",NA|MIC|Agar diffusion|Gradient strip
Enrofloxacin,Isolate,OrdQn,4,"23712-3,35796-2,35797-0,35798-8",NA|Gradient strip|Agar diffusion|MIC
Entamoeba histolytica Ab,Ser,Ord,4,"16817-9,22285-1,56921-0,90297-3",Immune diffusion|NA|IF|IA
Entamoeba histolytica Ab,Ser,Qn,10,"16819-5,16820-3,21259-7,22286-9,25400-3,5150-8,5151-6,7880-8,9420-1,9421-9",IF|Comp fix|HA|NA|IF|IA|HA|NA|Comp fix|Immune diffusion
Entamoeba histolytica Ab.IgA,Ser,Qn,2,"22287-7,9521-6",NA|IA
Entamoeba histolytica Ab.IgG,Ser,Qn,2,"22288-5,9522-4",NA|IA
Entamoeba histolytica Ab.IgM,Ser,Qn,2,"22289-3,9523-2",NA|IA
Entamoeba histolytica Ag,Ser,Qn,2,"31810-5,6397-4",NA|IA
Entamoeba histolytica Ag,Stool,Qn,2,"31811-3,6398-2",NA|IA
Entamoeba histolytica Ag,XXX,Qn,2,"31812-1,6399-0",NA|IA
Entamoeba histolytica DNA,Stool,Ord,2,"82207-2,92689-9",Non-probe.amp.tar|Probe.amp.tar
Enterobacter sp (gyrB+metB) genes,Bld.pos growth,Ord,2,"75676-7,88255-5",Probe.mag capture|Probe
Enterococcus faecalis hsp60 gene,Bld.pos growth,Ord,2,"74743-6,88256-3",Probe.mag capture|Probe
Enterococcus faecium hsp60 gene,Bld.pos growth,Ord,2,"75690-8,88257-1",Probe.mag capture|Probe
Enterococcus sp DNA,Bld.pos growth,Ord,2,"85775-5,92784-8",Non-probe.amp.tar|Probe.amp.tar
Enterococcus sp rRNA,XXX,Ord,2,"38383-6,5001-3",Probe|Probe
Enterovirus identified,CSF,Nom,2,"43699-8,5839-6",Shell vial culture|Organism specific culture
Enterovirus identified,Isolate,Nom,2,"5840-4,5841-2",IF|Neut
Enterovirus identified,XXX,Nom,3,"43364-9,43698-0,5843-8",IF|Shell vial culture|Organism specific culture
Enterovirus NOS Ab,Ser,Qn,3,"26022-4,31367-6,43038-9",Comp fix|NA|NA
Enterovirus RNA,CSF,Ord,3,"27952-1,29558-4,82194-2",Probe|Probe.amp.tar|Non-probe.amp.tar
Enterovirus RNA,XXX,Qn,2,"53256-4,74423-5",Probe.amp.tar|Probe.amp.tar
Eosinophils,Bld,Qn,3,"26449-9,711-2,712-0",NA|Automated count|Manual count
Eosinophils,Body fld,Qn,3,"35063-7,40569-6,76407-6",NA|Manual count|Manual count
Eosinophils,CSF,Qn,3,"34957-1,34958-9,55778-5",Manual count|NA|Manual count
Eosinophils,Nose,Ord,2,"29992-5,50340-9",Wright stain|Hansel stain
Eosinophils,Pericard fld,Qn,2,"67829-2,68398-7",NA|Manual count
Eosinophils,Periton fld,Qn,3,"34726-0,35061-1,68399-5",Microscopy.light.HPF|NA|Manual count
Eosinophils,Plr fld,Qn,2,"35062-9,68400-1",NA|Manual count
Eosinophils,Sputum,Ord,2,"29993-3,50341-7",Wright stain|Hansel stain
Eosinophils,Stool,Ord,2,"45379-5,48049-1",Microscopy.light|Wright stain
Eosinophils,Synv fld,Qn,2,"35060-3,68401-9",NA|Manual count
Eosinophils,Urine sed,Ord,2,"25156-1,49839-4",Microscopy.light|Wright stain
Eosinophils,XXX,Ord,2,"20472-7,48710-8",Wright stain|Microscopy.light
Eosinophils.immature,Bld,Qn,2,"33802-0,34912-6",Manual count|NA
Eosinophils.immature/100 leukocytes,Bld,Qn,2,"33803-8,34913-4",Manual count|NA
Eosinophils/100 cells,Bone mar,Qn,2,"11106-2,11152-6",Manual count|NA
Eosinophils/100 leukocytes,Bld,Qn,3,"26450-7,713-8,714-6",NA|Automated count|Manual count
Eosinophils/100 leukocytes,Body fld,Qn,3,"12209-3,13353-8,26452-3",Manual count|Manual count|NA
Eosinophils/100 leukocytes,Bronchial,Qn,3,"14709-0,30377-6,56771-9",Manual count|NA|Flow cytometry
Eosinophils/100 leukocytes,CSF,Qn,3,"12208-5,13350-4,26451-5",Manual count|Manual count|NA
Eosinophils/100 leukocytes,Nose,Qn,2,"30378-4,9727-9",NA|Manual count
Eosinophils/100 leukocytes,Periton fld,Qn,2,"14343-8,30380-0",Manual count|NA
Eosinophils/100 leukocytes,Plr fld,Qn,2,"14344-6,30379-2",Manual count|NA
Eosinophils/100 leukocytes,Sputum,Qn,2,"10327-5,30381-8",Manual count|NA
Eosinophils/100 leukocytes,Stool,Qn,2,"14326-3,30382-6",Manual count|NA
Eosinophils/100 leukocytes,Synv fld,Qn,2,"17834-3,57391-5",NA|Manual count
Eosinophils/leukocytes,Bld,Qn,2,"71674-6,71679-5",Manual count|Automated count
ePHEDrine,Ser/Plas,Qn,2,"3591-5,55535-9",NA|NA
ePHEDrine,Urine,Qn,2,"3593-1,59134-7",NA|Confirm
Ephedrine+Pseudoephedrine,Ser/Plas,Qn,2,"29612-9,3595-6",Confirm|NA
Ephedrine+Pseudoephedrine,Urine,Qn,2,"26785-6,58707-1",NA|Confirm
Ephemeral fever virus Ab,Ser,Ord,2,"23057-3,23058-1",Neut|NA
Epicoccum purpurascens Ab.IgE,Ser,Qn,2,"6111-9,7306-4",NA|NA
Epicoccum purpurascens Ab.IgG,Ser,Qn,2,"18410-1,42904-3",NA|NA
Epidermal growth factor receptor,Tiss,Qn,2,"13659-8,14050-9",NA|NA
Epidermal growth factor receptor Ag,Tiss,Ord,2,"32581-1,39004-7",Immune stain|NA
Epidermis Ab,Ser,Qn,3,"31368-4,5152-4,8069-7",NA|IF|NA
EPINEPHrine,Plas,Qn,2,"14711-6,2230-1",NA|NA
EPINEPHrine,Urine,Qn,6,"11046-0,14712-4,2232-7,24521-7,25908-5,32015-0",NA|NA|NA|NA|NA|NA
EPINEPHrine/Creatinine,Urine,Qn,5,"13734-9,24522-5,25909-3,33874-9,43248-4",NA|NA|NA|NA|NA
Epinephrine^1H post 300 ug cloNIDine PO,Plas,Qn,2,"1461-3,47136-7",NA|NA
Epinephrine^2H post 300 ug cloNIDine PO,Plas,Qn,2,"1462-1,47137-5",NA|NA
EPINEPHrine^2H post XXX challenge,Plas,Qn,2,"12529-4,47138-3",NA|NA
EPINEPHrine^2nd specimen post XXX challenge,Plas,Qn,2,"13420-5,47139-1",NA|NA
EPINEPHrine^2nd specimen post XXX challenge,Urine,Qn,2,"18219-6,47140-9",NA|NA
Epinephrine^3H post 300 ug cloNIDine PO,Plas,Qn,2,"1463-9,47141-7",NA|NA
EPINEPHrine^3rd specimen post XXX challenge,Plas,Qn,2,"13421-3,47142-5",NA|NA
EPINEPHrine^3rd specimen post XXX challenge,Urine,Qn,2,"18220-4,47143-3",NA|NA
EPINEPHrine^4H post XXX challenge,Plas,Qn,2,"16821-1,47144-1",NA|NA
EPINEPHrine^4th specimen post XXX challenge,Plas,Qn,2,"13422-1,47146-6",NA|NA
EPINEPHrine^4th specimen post XXX challenge,Urine,Qn,2,"18221-2,47145-8",NA|NA
EPINEPHrine^5th specimen post XXX challenge,Plas,Qn,2,"13423-9,47147-4",NA|NA
EPINEPHrine^5th specimen post XXX challenge,Urine,Qn,2,"18222-0,47148-2",NA|NA
EPINEPHrine^6th specimen post XXX challenge,Plas,Qn,2,"13424-7,47149-0",NA|NA
EPINEPHrine^6th specimen post XXX challenge,Urine,Qn,2,"18223-8,47150-8",NA|NA
EPINEPHrine^7th specimen post XXX challenge,Plas,Qn,2,"13425-4,47151-6",NA|NA
EPINEPHrine^7th specimen post XXX challenge,Urine,Qn,2,"18224-6,47152-4",NA|NA
Epinephrine^pre 300 ug cloNIDine PO,Plas,Qn,2,"1464-7,47153-2",NA|NA
Epinephrine+Norepinephrine,Urine,Qn,3,"16111-7,44837-3,49552-3",NA|NA|NA
Epipregnanolone,Urine,Qn,3,"78376-1,78377-9,78379-5",NA|NA|NA
Episode of care medical records,^Patient,Doc,8,"11514-7,11515-4,11516-2,11517-0,11518-8,11519-6,11520-4,11521-2",Chiropractic|Physical therapy|Physician|Podiatry|Psychology|Social service|Speech therapy|Occupational therapy
Epithelial casts,Urine,Qn,2,"53287-9,53291-1",Computer assisted|Computer assisted
Epithelial casts,Urine sed,Qn,3,"45386-0,5786-9,88977-4",Microscopy.light.HPF|Microscopy.light.LPF|NA
Epithelial cells,Urine,Qn,3,"24123-2,30383-4,87926-2",Manual count|NA|Automated
Epithelial cells,Urine sed,Qn,3,"33342-7,46133-5,5787-7",Automated count|Microscopy.light.LPF|Microscopy.light.HPF
Epithelial cells,XXX,Ord,2,"32762-7,72161-3",Wet preparation|Gram stain
Epithelial cells.non-squamous,Urine sed,Qn,3,"41284-1,53132-7,53294-5",Microscopy.light.HPF|Microscopy.light.LPF|Automated count
Epithelial cells.renal,Urine,Qn,2,"33221-3,53274-7",Computer assisted|Computer assisted
Epithelial cells.renal,Urine sed,Ord,2,"12248-1,90044-9",Microscopy.light|NA
Epithelial cells.renal,Urine sed,Qn,3,"13653-1,26052-1,45391-0",NA|Microscopy.light.HPF|Microscopy.light.LPF
Epithelial cells.squamous,Urine sed,Ord,2,"12258-0,49754-5",Microscopy.light|Microscopy.light
Epithelial cells.squamous,Urine sed,Qn,4,"11277-1,13654-9,33219-7,45390-2",Microscopy.light.HPF|NA|Automated count|Microscopy.light.LPF
Epizootic hemorrhagic disease virus Ab,Ser,Ord,5,"15466-6,20802-5,20803-3,23059-9,23060-7",Immune diffusion|Neut|NA|IA|Comp fix
Epizootic hemorrhagic disease virus Ag,Bld,Ord,2,"20804-1,23062-3",IF|NA
Epizootic hemorrhagic disease virus Ag,Lung,Ord,2,"20805-8,31813-9",IF|NA
Epizootic hemorrhagic disease virus Alberta Ab,Ser,Ord,2,"23063-1,23064-9",NA|Immune diffusion
Epizootic hemorrhagic disease virus New Jersey Ab,Ser,Ord,2,"23065-6,23066-4",NA|Immune diffusion
Epstein Barr virus Ab,Ser,Ord,2,"48723-1,49178-7",IF|NA
Epstein Barr virus Ab,Ser,Qn,2,"13238-1,49069-8",NA|NA
Epstein Barr virus capsid Ab.IgA,Ser,Qn,3,"22290-1,31369-2,9633-9",NA|NA|IF
Epstein Barr virus capsid Ab.IgG,Body fld,Qn,2,"47064-1,47432-0",IF|NA
Epstein Barr virus capsid Ab.IgG,CSF,Qn,4,"11009-8,16826-0,22291-9,58760-0",IF|NA|NA|IA
Epstein Barr virus capsid Ab.IgG,Ser,Ord,3,"24114-1,30339-6,40750-2",IA|NA|IF
Epstein Barr virus capsid Ab.IgG,Ser,Qn,4,"20490-9,5157-3,5158-1,7885-7",NA|IA|IF|NA
Epstein Barr virus capsid Ab.IgG^1st specimen,Ser,Qn,2,"32828-6,32843-5",IA|NA
Epstein Barr virus capsid Ab.IgG^1st specimen/2nd specimen,Ser,Qn,2,"32830-2,32845-0",IA|NA
Epstein Barr virus capsid Ab.IgG^2nd specimen,Ser,Qn,2,"32829-4,32844-3",IA|NA
Epstein Barr virus capsid Ab.IgM,Body fld,Qn,2,"47066-6,47433-8",IF|NA
Epstein Barr virus capsid Ab.IgM,CSF,Qn,4,"11010-6,22292-7,31370-0,56599-4",IF|NA|NA|IA
Epstein Barr virus capsid Ab.IgM,Ser,Ord,3,"24115-8,30340-4,40751-0",IA|NA|IF
Epstein Barr virus capsid Ab.IgM,Ser,Qn,4,"20491-7,5159-9,5160-7,7886-5",NA|IA|IF|NA
Epstein Barr virus DNA,Ser/Plas,Qn,2,"43730-1,47982-4",Probe.amp.tar|Probe.amp.tar
Epstein Barr virus DNA,Tiss,Ord,2,"5003-9,5004-7",Probe|Probe.amp.tar
Epstein Barr virus DNA,XXX,Qn,2,"32585-2,53774-6",Probe.amp.tar|Probe.amp.tar
Epstein Barr virus early Ab,Ser,Ord,3,"5153-2,5154-0,7882-4",IA|IF|NA
Epstein Barr virus early Ab,Ser,Qn,4,"14083-0,16823-7,22293-5,22294-3",IF|IA|NA|NA
Epstein Barr virus early Ab.IgA,Ser,Qn,2,"47072-4,47435-3",IF|NA
Epstein Barr virus early Ab.IgG,Body fld,Qn,2,"47068-2,47436-1",IF|NA
Epstein Barr virus early Ab.IgG,CSF,Qn,3,"23972-3,23996-2,31371-8",NA|IF|NA
Epstein Barr virus early Ab.IgG,Ser,Ord,3,"22295-0,40752-8,6814-8",NA|IA|IF
Epstein Barr virus early Ab.IgG,Ser,Qn,3,"23971-5,23995-4,24007-7",NA|IF|NA
Epstein Barr virus early diffuse Ab,CSF,Ord,2,"12263-0,51454-7",IF|NA
Epstein Barr virus early diffuse Ab,Ser,Ord,2,"13236-5,47434-6",IF|NA
Epstein Barr virus early restricted Ab,Ser,Ord,2,"13237-3,47437-9",IF|NA
Epstein Barr virus nuclear Ab,Ser,Ord,2,"20432-1,22296-8",IF|NA
Epstein Barr virus nuclear Ab,Ser,Qn,3,"21260-5,22297-6,31372-6",IF|NA|NA
Epstein Barr virus nuclear Ab.IgG,CSF,Qn,3,"23970-7,23994-7,31373-4",NA|IF|NA
Epstein Barr virus nuclear Ab.IgG,Ser,Ord,3,"5155-7,5156-5,7883-2",IF|IA|NA
Epstein Barr virus nuclear Ab.IgG,Ser,Qn,5,"12212-7,22298-4,30083-0,31374-2,40753-6",IF|NA|IA|NA|IF
Epstein Barr virus nuclear Ab.IgM,Ser,Ord,2,"6815-5,7884-0",IA|NA
Epstein Barr virus nuclear Ab.IgM,Ser,Qn,2,"26705-4,31375-9",NA|NA
Equine adenovirus Ag,Lung,Ord,2,"20677-1,31814-7",IF|NA
Equine arteritis virus Ab,Ser,Ord,5,"23068-0,23070-6,23071-4,23072-2,23073-0",Immune diffusion|IA|Neut|IF|NA
Equine arteritis virus Ab,Ser,Qn,4,"15473-2,22299-2,23069-8,31376-7",Neut|NA|Comp fix|NA
Equine arteritis virus Ag,Tiss,Ord,2,"23077-1,23078-9",IF|Immune stain
Equine arteritis virus Ag,XXX,Ord,4,"23074-8,23075-5,23076-3,31815-4",IF|Immune stain|Neut|NA
Equine herpesvirus 1 Ab,CSF,Qn,2,"43332-6,46186-3",Neut|NA
Equine herpesvirus 1 Ab,Ser,Qn,3,"15467-4,22300-8,31377-5",Neut|NA|NA
Equine herpesvirus 1 Ag,Tiss,Ord,2,"20854-6,23081-3",IF|Immune stain
Equine herpesvirus 1 Ag,Tracheal swab,Ord,2,"20853-8,31816-2",IF|NA
Equine herpesvirus 1 Ag,XXX,Ord,2,"23080-5,31817-0",IF|NA
Equine herpesvirus 1+4 Ab,Ser,Ord,2,"23085-4,23087-0",Neut|NA
Equine herpesvirus 1+4 Ab,Ser,Qn,5,"23086-2,23088-8,23089-6,23090-4,31378-3",IA|NA|Neut|Comp fix|NA
Equine herpesvirus 1+4 Ag,Body fld,Ord,2,"23091-2,31818-8",IF|NA
Equine herpesvirus 2 Ab,Ser,Qn,2,"43333-4,46187-1",Neut|NA
Equine herpesvirus 3 Ab,Ser,Qn,2,"43334-2,46188-9",Neut|NA
Equine herpesvirus 4 Ag,XXX,Ord,2,"23092-0,31819-6",IF|NA
Equine infectious anemia virus Ab,Ser,Ord,4,"15468-2,22301-6,23096-1,23097-9",Immune diffusion|NA|IB|IA
Equine infectious anemia virus Ag,XXX,Ord,3,"23098-7,23099-5,31820-4",IF|IA|NA
Equine influenza virus A1 Ab,Ser,Ord,2,"23100-1,23101-9",Comp fix|NA
Equine influenza virus A1 Ab,Ser,Qn,3,"15469-0,22302-4,31379-1",HAI|NA|NA
Equine influenza virus A1 Ag,XXX,Qn,2,"23102-7,31821-2",HAI|NA
Equine influenza virus A2 Ab,Ser,Ord,2,"15470-8,23103-5",NA|Comp fix
Equine influenza virus A2 Ab,Ser,Qn,3,"15471-6,22303-2,31380-9",HAI|NA|NA
Equine influenza virus A2 Ag,XXX,Qn,2,"23104-3,31822-0",HAI|NA
Equine influenza virus Ag,Nose,Ord,2,"15472-4,31823-8",IA|NA
Ertapenem,Isolate,OrdQn,4,"35799-6,35800-2,35801-0,35802-8",Agar diffusion|Gradient strip|MIC|NA
Erythrocyte casts,Urine,Qn,2,"33229-6,53285-3",Computer assisted|Computer assisted
Erythrocyte casts,Urine sed,Qn,3,"51790-4,5807-3,88970-9",Microscopy.light.HPF|Microscopy.light.LPF|NA
Erythrocyte clumps,Urine,Qn,2,"53358-8,53360-4",Computer assisted|Computer assisted
Erythrocyte clumps,Urine sed,Qn,2,"49505-1,58449-0",Automated count|Microscopy.light.HPF
Erythrocyte distribution width,RBC,Qn,4,"21000-5,30384-2,30385-9,788-0",Automated count|NA|NA|Automated count
Erythrocyte mean corpuscular diameter,RBC,Qn,2,"30386-7,784-9",NA|Automated count
Erythrocyte mean corpuscular hemoglobin,RBC,Qn,3,"28539-5,59468-9,785-6",NA|NA|Automated count
Erythrocyte mean corpuscular hemoglobin concentration,RBC,Qn,3,"28540-3,59467-1,786-4",NA|NA|Automated count
Erythrocyte mean corpuscular volume,BldCo,Qn,2,"11272-2,47282-9",Automated count|NA
Erythrocyte mean corpuscular volume,RBC,Qn,2,"30428-7,787-2",NA|Automated count
Erythrocyte sedimentation rate,Bld,Qn,6,"18184-2,30341-2,43402-7,4537-7,4538-5,82477-1",Westergren.2H reading|NA|15M reading|Westergren|Wintrobe|Photometric
Erythrocytes,Bld,Qn,3,"26453-1,789-8,790-6",NA|Automated count|Manual count
Erythrocytes,Body fld,Qn,3,"23860-0,26455-6,6741-3",Automated count|NA|Manual count
Erythrocytes,CSF,Qn,3,"26454-9,791-4,792-2",NA|Automated count|Manual count
Erythrocytes,Dial fld,Qn,2,"53517-9,57841-9",Manual count|Automated count
Erythrocytes,Dial fld prt,Qn,2,"40534-0,81640-5",Manual count|Automated count
Erythrocytes,Gast fld,Qn,2,"14372-7,30387-5",Manual count|NA
Erythrocytes,Pericard fld,Qn,3,"14713-2,30388-3,57842-7",Manual count|NA|Automated count
Erythrocytes,Periton fld,Qn,3,"26457-2,57843-5,795-5",NA|Automated count|Manual count
Erythrocytes,Plr fld,Qn,3,"26456-4,793-0,794-8",NA|Manual count|Automated count
Erythrocytes,Semen,Qn,2,"43245-0,58767-5",Microscopy.light|Microscopy.light.HPF
Erythrocytes,Semin plas,Qn,2,"16828-6,30389-1",Manual count|NA
Erythrocytes,Stool,Qn,2,"14331-3,30390-9",Manual count|NA
Erythrocytes,Synv fld,Qn,5,"26458-0,51382-0,75237-8,796-3,797-1",NA|Microscopy.light|Microscopy.light.HPF|Automated count|Manual count
Erythrocytes,Urine,Ord,2,"33051-4,53292-9",NA|Automated
Erythrocytes,Urine,Qn,5,"20409-9,30391-7,57747-8,798-9,799-7",Test strip|NA|Test strip.automated|Automated count|Manual count
Erythrocytes,Urine sed,Qn,8,"13945-1,14290-1,46419-8,5808-1,59830-0,68902-6,68903-4,68912-5",Microscopy.light.HPF|Manual count|Automated count|Microscopy.light.HPF|Microscopy.light|Microscopy.light|Microscopy.light|Microscopy.light
Erythrocytes,XXX,Ord,2,"70124-3,72162-1",Wet preparation|Gram stain
Erythrocytes.nucleated,Bld,Ord,3,"34188-3,34200-6,40630-6",NA|Automated count|Microscopy.light
Erythrocytes.nucleated,Bld,Qn,3,"30392-5,771-6,772-4",NA|Automated count|Manual count
Erythrocytes.nucleated,Body fld,Qn,3,"13530-1,26460-6,62439-5",Manual count|NA|Automated count
Erythrocytes.nucleated,CSF,Qn,4,"13529-3,26459-8,55780-1,62437-9",Manual count|NA|Manual count|Automated count
Erythrocytes.nucleated,Synv fld,Qn,2,"43220-3,62438-7",Manual count|Automated count
Erythrocytes.nucleated/100 erythrocytes,Bld,Qn,2,"26461-4,773-2",NA|Manual count
Erythrocytes.nucleated/100 leukocytes,Bld,Qn,4,"18309-5,19048-8,30393-3,58413-6",Manual count|NA|NA|Automated count
Erythrocytes.nucleated/100 leukocytes,Body fld,Qn,3,"41282-5,49229-8,62440-3",Manual count|NA|Automated count
Erythrocytes.nucleated/100 leukocytes,CSF,Qn,2,"40631-4,62441-1",Manual count|Automated count
Erythrocytes.nucleated/100 leukocytes,Synv fld,Qn,3,"48040-0,62442-9,68545-3",Manual count|Automated count|NA
Erythromycin,Isolate,OrdQn,6,"18919-1,20380-2,233-7,234-5,23633-1,7009-4",NA|Method for Slow-growing mycobacteria|MIC|Agar diffusion|Slow-growing Mycobacteria|Gradient strip
Erythromycin+Sulfisoxazole,Isolate,OrdQn,4,"11576-6,18920-9,237-8,238-6",Gradient strip|NA|MIC|Agar diffusion
Erythropoietin,Ser/Plas,Qn,3,"14714-0,15061-5,2237-6",NA|NA|NA
Erythropoietin given,Dose,Qn,2,"23634-9,23635-6",NA|NA
Escherichia coli K1 Ag,CSF,Ord,2,"14324-8,31824-6",LA|NA
Escherichia coli K1 Ag,XXX,Ord,3,"16833-6,16834-4,31825-3",IA|LA|NA
Escherichia coli K88,TSMI,Ord,2,"20815-7,20817-3",Aggl|IF
Escherichia coli K99,TSMI,Ord,3,"20818-1,20820-7,20822-3",Aggl|Aggl|IF
Escherichia coli O157:H7,Stool,Ord,2,"10851-4,12276-2",Organism specific culture|Organism specific culture
Escherichia coli Stx1+Stx2 toxin stx1+stx2 genes,Stool,Ord,2,"80679-4,82203-1",Probe.amp.tar|Non-probe.amp.tar
Escherichia coli verotoxin 1 Ab,Stool,Qn,3,"22608-4,31381-7,6575-5",NA|NA|Neut
